1 (51900,52720) 66864
2 (56500,57000) 67061
3 (46500,47000) 67071
5 (5291,5492) 4678
6 (5603,5827) 5038
7 (6420,6644) 4726
8 (5449,5697) 4759
24 (4426,4656) 5218
26 (5584,5954) 7154
27 (4087,4299) 5001
28 (3098,3409) 4084
29 (4385,4687) 6286
30 (4087,4297) 5197
35 (5765,6074) 3533
36 (6499,6781) 5459
38 (27762,28032) 29776
39 (16290,16520) 29776
41 (17290,17620) 29652
42 (12090,12520) 21981
45 (23257,23817) 26263
46 (23305,23577) 26699
49 (5265,5480) 5184
50 (5888,6185) 8723
53 (2664,3095) 4009
56 (11011,11311) 26823
57 (15900,16200) 32821
58 (12140,12408) 35137
59 (38400,38900) 48380
60 (46400,46900) 56962
61 (59800,60600) 56962
64 (38300,39300) 33887
65 (6900,7130) 6246
67 (6900,7150) 6289
68 (6408,6658) 3942
69 (8400,8601) 8381
74 (12300,12900) 7480
75 (13300,13900) 25193
78 (110160,110512) 182914
79 (168150,168350) 46935
80 (168150,168351) 134522
81 (158150,158351) 75889
82 (128330,128531) 134773
88 (49270,49840) 41674
90 (124059,125085) 87723
91 (113900,114470) 85091
92 (67895,68096) 99148
93 (51900,52720) 66778
95 (5449,5697) 4681
98 (4087,4299) 3900
99 (3374,3729) 2684
101 (17290,17620) 29891
104 (15900,16200) 28637
105 (59800,60600) 56969
107 (6900,7150) 6301
108 (168150,168350) 46927
109 (51900,52720) 66866
110 (56500,57000) 66983
111 (46500,47000) 67073
113 (5291,5492) 4731
115 (6420,6644) 4730
116 (5449,5697) 4726
120 (15900,16200) 22809
132 (4426,4656) 4146
134 (5584,5954) 5495
135 (4087,4299) 6282
136 (3098,3409) 6276
137 (4385,4687) 6292
138 (4087,4297) 3360
141 (6100,6470) 6975
144 (6499,6781) 6169
146 (27762,28032) 29727
147 (16290,16520) 11950
148 (17290,17620) 29891
149 (17290,17620) 29652
150 (12090,12520) 21940
153 (23257,23817) 26259
154 (23305,23577) 26247
157 (5265,5480) 9413
158 (5888,6185) 5185
161 (2664,3095) 4009
164 (11011,11311) 32883
165 (15900,16200) 33983
166 (12140,12408) 20920
167 (38400,38900) 56966
169 (59800,60600) 56966
173 (6900,7130) 7746
174 (7900,8125) 6820
175 (6900,7150) 6302
176 (6408,6658) 6305
177 (8400,8601) 6289
182 (12300,12900) 32892
183 (13300,13900) 25192
185 (110700,110901) 134508
187 (168150,168350) 46985
188 (168150,168351) 46983
189 (158150,158351) 46946
190 (128330,128531) 134749
195 (51270,51840) 55742
196 (49270,49840) 43240
198 (124059,125085) 85111
199 (113900,114470) 97478
200 (67895,68096) 97479
201 (16901,17116) 34555
203 (10895,11128) 39226
205 (28895,29185) 21670
206 (28980,29240) 26098
207 (26829,27089) 8199
209 (26870,27370) 29103
210 (74800,75096) 105280
211 (39140,39436) 105038
212 (29380,29604) 16888
214 (125620,126470) 54982
217 (150620,151470) 54958
219 (64532,64952) 174417
223 (131100,131800) 106418
224 (191100,191800) 85234
225 (142900,143400) 95253
228 (47730,47950) 46229
229 (57860,58070) 22553
230 (19410,19710) 38973
231 (47430,47890) 53202
232 (57430,57890) 53202
233 (24400,24601) 79756
234 (24500,24701) 96926
235 (75350,75551) 90647
236 (46250,46490) 62946
237 (89460,90470) 32552
238 (72500,72880) 51840
239 (593350,593614) 554872
240 (884000,884300) 827839
241 (837300,839200) 559340
242 (104530,104990) 187034
243 (203255,203500) 169312
244 (104530,104990) 190372
245 (270700,271170) 188896
246 (270700,271170) 210490
247 (121800,122080) 106105
249 (8185,8415) 3112
250 (7190,7396) 10007
